Department,Location,Employee Count,Avg Engagement,Avg Satisfaction,Avg Work Life Balance,Avg Training Hours
Engineering,Austin,185,67.6,7.2,3.2,42.9
Engineering,Chicago,232,69.4,7.2,3.3,40.5
Engineering,New York,396,70.4,7.3,3.2,40.4
Engineering,Remote,125,71.4,7.3,3.4,40.6
Engineering,San Francisco,345,69.3,7.1,3.3,41.9
Finance,Austin,128,69.7,6.8,3.2,43.2
Finance,Chicago,214,69.4,7.0,3.2,38.5
Finance,New York,311,68.4,6.9,3.2,38.6
Finance,Remote,89,66.7,6.8,3.2,36.0
Finance,San Francisco,288,69.9,6.6,3.3,37.5
HR,Austin,106,69.0,7.9,3.3,40.6
HR,Chicago,132,67.4,7.7,3.2,43.9
HR,New York,229,70.2,7.7,3.4,42.1
HR,Remote,64,66.8,7.9,3.3,40.5
HR,San Francisco,209,70.7,7.8,3.4,42.8
Operations,Austin,107,71.9,6.3,3.3,40.6
Operations,Chicago,149,69.4,5.9,3.2,42.6
Operations,New York,222,70.7,5.9,3.3,36.8
Operations,Remote,73,69.1,6.1,3.3,43.8
Operations,San Francisco,179,68.6,6.0,3.3,40.3
Sales,Austin,168,69.6,6.4,3.4,40.1
Sales,Chicago,239,68.5,6.6,3.2,40.2
Sales,New York,364,68.6,6.4,3.3,40.7
Sales,Remote,131,69.5,6.7,3.3,39.9
Sales,San Francisco,315,67.8,6.5,3.3,38.8
