period,quarter,year,region,revenue,expenses,profit,margin_pct,revenue_growth_pct,notes
Jan 2024,Q1,2024,Global,1820000,1430000,390000,21.4,,Strong start to fiscal year
Feb 2024,Q1,2024,Global,1950000,1510000,440000,22.6,7.1,
Mar 2024,Q1,2024,Global,2100000,1620000,480000,22.9,7.7,Quarter-end push
Apr 2024,Q2,2024,Global,2250000,1680000,570000,25.3,7.1,
May 2024,Q2,2024,Global,2350000,1720000,630000,26.8,4.4,
Jun 2024,Q2,2024,Global,2450000,1790000,660000,26.9,4.3,Strong Q2 close
Jul 2024,Q3,2024,Global,2380000,1850000,530000,22.3,-2.9,Summer slowdown begins
Aug 2024,Q3,2024,Global,2200000,1900000,300000,13.6,-7.6,Revenue decline - key accounts delayed renewals
Sep 2024,Q3,2024,Global,2020000,1880000,140000,6.9,-8.2,Lowest margin of year - expense spike in Engineering and Sales
Oct 2024,Q4,2024,Global,2310000,1760000,550000,23.8,14.4,Recovery begins
Nov 2024,Q4,2024,Global,2480000,1810000,670000,27.0,7.4,
Dec 2024,Q4,2024,Global,2650000,1870000,780000,29.4,6.9,Strong year-end close
Jan 2025,Q1,2025,Global,2520000,1920000,600000,23.8,-4.9,Post-holiday normalization
Feb 2025,Q1,2025,Global,2610000,1950000,660000,25.3,3.6,
Mar 2025,Q1,2025,Global,2780000,2010000,770000,27.7,6.5,
Apr 2025,Q2,2025,Global,2890000,2080000,810000,28.0,3.9,
May 2025,Q2,2025,Global,2950000,2120000,830000,28.1,2.1,
Jun 2025,Q2,2025,Global,3050000,2180000,870000,28.5,3.4,
Q1 2024,Q1,2024,North America,2850000,2100000,750000,26.3,,
Q2 2024,Q2,2024,North America,3100000,2250000,850000,27.4,8.8,
Q3 2024,Q3,2024,North America,2980000,2300000,680000,22.8,-3.9,Delayed enterprise renewals in US market
Q4 2024,Q4,2024,North America,3350000,2280000,1070000,31.9,12.4,
Q1 2024,Q1,2024,EMEA,1620000,1280000,340000,21.0,,
Q2 2024,Q2,2024,EMEA,1750000,1340000,410000,23.4,8.0,
Q3 2024,Q3,2024,EMEA,1580000,1350000,230000,14.6,-9.7,UK and Germany accounts pushed to Q4
Q4 2024,Q4,2024,EMEA,1820000,1310000,510000,28.0,15.2,
Q1 2024,Q1,2024,APAC,980000,780000,200000,20.4,,
Q2 2024,Q2,2024,APAC,1100000,840000,260000,23.6,12.2,
Q3 2024,Q3,2024,APAC,1040000,870000,170000,16.3,-5.5,
Q4 2024,Q4,2024,APAC,1270000,850000,420000,33.1,22.1,India and Singapore driving strong growth
Q1 2024,Q1,2024,LATAM,420000,360000,60000,14.3,,
Q2 2024,Q2,2024,LATAM,450000,370000,80000,17.8,7.1,
Q3 2024,Q3,2024,LATAM,400000,380000,20000,5.0,-11.1,Brazil macro headwinds
Q4 2024,Q4,2024,LATAM,470000,360000,110000,23.4,17.5,
